project_id,fleet_id,site_id,vehicle_id,model,manufacturer,model_year,vehicle_type,vocation,vehicle_class_size,body_type,body_manufacturer,power,torque,drivetrain_type,main_energy_source_units,main_energy_source_capacity,range_units,nominal_total_range,charging_h2_connector_type,is_plug_in,is_hybrid,if_hybrid_range_from_main_energy_source,if_hybrid_range_from_secondary_energy_source,h2_pressure,ev_max_charge,fuel_cell_h2_acceptance_rate,fuel_on_site,fuel_public,is_operated_in_dac,expected_deployment_date,actual_deployment_date,deployment_end_date,cause_of_deployment_delay,brake_replacement_rates,tire_replacement_rates,num_drivers,electric_motor_type,electric_motor_model
G16-ZNZE-02,G16-ZNZE-02-NFI1,G16-ZNZE-02-NFI1-1,NFI-Forklift-03,FC Series,Crown,2019,Other,"Nonroad, Industrial/MH",Class 3,Other,Crown,Not Available,Not Available,Battery-electric,kWh,27.5,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-08-15 00:00:00,2020-08-15 00:00:00,2021-06-11 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-NFI1,G16-ZNZE-02-NFI1-1,NFI-Forklift-04,FC Series,Crown,2019,Other,"Nonroad, Industrial/MH",Class 3,Other,Crown,Not Available,Not Available,Battery-electric,kWh,27.5,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-08-15 00:00:00,2020-08-15 00:00:00,2021-06-11 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-NFI1,G16-ZNZE-02-NFI1-1,NFI-Forklift-05,FC Series,Crown,2019,Other,"Nonroad, Industrial/MH",Class 3,Other,Crown,Not Available,Not Available,Battery-electric,kWh,27.5,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-08-15 00:00:00,2020-08-15 00:00:00,2021-06-11 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-NFI1,G16-ZNZE-02-NFI1-1,NFI-Forklift-06,FC Series,Crown,2019,Other,"Nonroad, Industrial/MH",Class 3,Other,Crown,Not Available,Not Available,Battery-electric,kWh,27.5,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-08-15 00:00:00,2020-08-15 00:00:00,2021-06-11 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-NFI1,G16-ZNZE-02-NFI1-1,NFI-Forklift-07,FC Series,Crown,2019,Other,"Nonroad, Industrial/MH",Class 3,Other,Crown,Not Available,Not Available,Battery-electric,kWh,27.5,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-08-15 00:00:00,2020-08-15 00:00:00,2021-06-11 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-NFI1,G16-ZNZE-02-NFI1-1,NFI-Forklift-08,FC Series,Crown,2019,Other,"Nonroad, Industrial/MH",Class 3,Other,Crown,Not Available,Not Available,Battery-electric,kWh,27.5,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-08-15 00:00:00,2020-08-15 00:00:00,2021-06-11 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-NFI1,G16-ZNZE-02-NFI1-1,NFI-YardTractor-01,T2E,Kalmar,2020,Yard Tractor,"Nonroad, Industrial/MH",Class 8,Day Cab Tractor,Kalmar,160,500,Battery-electric,kWh,176,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-12-01 00:00:00,2020-12-01 00:00:00,2021-08-31 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-NFI1,G16-ZNZE-02-NFI1-1,NFI-YardTractor-02,T2E,Kalmar,2020,Yard Tractor,"Nonroad, Industrial/MH",Class 8,Day Cab Tractor,Kalmar,160,500,Battery-electric,kWh,176,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-12-01 00:00:00,2020-12-01 00:00:00,2021-08-31 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-NFI1,G16-ZNZE-02-NFI1-1,NFI-C8Tractor-01,VNR Class 8 Tractor,Volvo,2021,Heavy-duty Truck,"Freight, Local",Class 8,Day Cab Tractor,Volvo,340,4051,Battery-electric,kWh,264,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,250,Not Applicable,true,false,False,2021-05-01 00:00:00,2021-05-01 00:00:00,2021-12-31 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-NFI1,G16-ZNZE-02-NFI1-1,NFI-C8Tractor-02,VNR Class 8 Tractor,Volvo,2021,Heavy-duty Truck,"Freight, Local",Class 8,Day Cab Tractor,Volvo,340,4051,Battery-electric,kWh,264,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,250,Not Applicable,true,false,False,2021-05-01 00:00:00,2021-05-01 00:00:00,2021-12-31 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZTRK-03,G16-ZTRK-03-APST,Stockton-01,MVN2022,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APST,Stockton-01,MVN2026,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APST,Stockton-01,MVN2027,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APST,Stockton-01,MVN2032,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APME,Merced-01,MVN2024,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APME,Merced-01,MVN2030,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APME,Merced-01,MVN2034,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APME,Merced-01,MVN2035,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
G16-ZTRK-03,G16-ZTRK-03-APFR,Fresno-01,MVN2017,,MOTIV,,Medium-duty Step Van,"Freight, Local",Class 6,Walk-in Van,,,2400,Battery-Electric,kWh,,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,true,,True,,,,,,,,,
