# This is a template for the Advanced Clean Trucks Manufacturer Produced and Delivered for Sale Reports. Make sure your file is saved in CSV format before uploading it to the screen.,,,,,,,,,,
# PACCAR MY2021 ACT Report,,,,,,,,,,
# Items in the CSV file must be separated by a comma. Non-USA users should check their files to be certain that some other character was not used by their computer as the item separator.,,,,,,,,,,
"# In some cases, the user may wish to change the default list separator character in Windows. (Start | Settings | Control Panel | Regional and Language Options | Customize | List Separator)",,,,,,,,,,
"# Although the fields titled ""Allowed Values:"" show both codes and their descriptions, the actual input file should only use the appropriate codes.",,,,,,,,,,
# Any row that starts with a '#' in the first column will be ignored,,,,,,,,,,
# See examples below.,,,,,,,,,,
#VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
#PV-32 same as EPA Sheet,PV-37 (same as EPA sheet),,,,,,,,,
#**Conditional**,**Required**,**Required**,**Required**,**Required**,**Required**,**Conditional**,**Required**,**Required**,**Required**,**Required**
#,Allowed Values:,Allowed Values:,Allowed Values:,,Allowed Values:,,Allowed Values:,Allowed Values:,Allowed Values:,Allowed Values:
#,CNG = Compressed Natural Gas,EV = Electric Vehicle,Y = Yes,,C2b3 = Class 2b-3,,Y = Yes,Y = Yes,CA,Y = Yes
#,D = Diesel,FC = Fuel Cell-Powered Vehicle,N = No,,C45 = Class 4-5,,N = No,N = No,MA,N = No
#,"E = Ethanol, greater than 85%",NZEV = Near Zero Emission Vehicle,,,C67 = Class 6-7,,,,NJ,
#,EL = Electricity,NA = Not Applicable,,,C8S = Class 8 including Yard Tractors,,,,NY,
#,"G = Gasoline, including blends up to E85",,,,C78T = Class 7-8 Tractors,,,,OR,
#,H = Hydrogen,,,,,,,,WA,
#,LNG = Liquefied Natural Gas,,,,,,,,,
#,LPG = Liquefied Petroleum Gas,,,,,,,,,
#,M = Methanol,,,,,,,,,
#Example:,,,,,,Example:,,,,
#123ABC456XYZ78900,D,EV,Y  ,,C78T   ,,N ,Y   ,CA,N
#,EL  ,NZEV  ,N  ,,,75,,,,
# Enter data below,,,,,,,,,,
#VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
1XKYD49X4NJ473453,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X8NJ473455,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49XXNJ473456,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X1NJ473457,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X3NJ473458,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X5NJ473459,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X1NJ473460,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X3NJ473461,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49XXNJ473716,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X1NJ473717,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X3NJ473718,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X5NJ473719,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X1NJ473720,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X3NJ473721,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X9NJ473724,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X0NJ473725,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X2NJ473726,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X4NJ473727,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X0NJ476270,D,NA,N,2021,C78T,,N,,NJ,N
1XKYD49X2NJ476271,D,NA,N,2021,C78T,,N,,NJ,N
1XKYD49X6NJ476273,D,NA,N,2021,C78T,,N,,NJ,N
1XKYD49X8NJ476274,D,NA,N,2021,C78T,,N,,NJ,N
1XKYD49XXNJ476275,D,NA,N,2021,C78T,,N,,NJ,N
1XKYD49X1NJ476276,D,NA,N,2021,C78T,,N,,NJ,N
1NKDX4EX3NR482913,D,NA,N,2021,C8S,,N,,OR,N
1NKDX4EX5NR482914,D,NA,N,2021,C8S,,N,,OR,N
1XKWD49X0NR484104,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49XXNJ484716,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X3NJ484718,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X1NJ484720,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X0NJ484725,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X3NJ485867,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X5NJ485868,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X7NJ485869,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X5NJ485871,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X7NJ485872,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X9NJ485873,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X0NJ485874,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X4NJ485876,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X6NJ485877,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X8NJ485878,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X6NJ486317,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X4NJ487062,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X6NJ487225,D,NA,N,2021,C78T,,N,,CA,N
1XKYC48X0NJ488102,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X7NJ488335,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X9NJ488398,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X9NJ488403,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X0NJ488404,D,NA,N,2021,C78T,,N,,CA,N
1XK1D49X5NJ488562,D,NA,N,2021,C78T,,N,,WA,N
1XK1D49X7NJ488563,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X1NJ488573,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X9NJ489406,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X0NJ489407,D,NA,N,2021,C78T,,N,,CA,N
1XKYD49X4NJ490060,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X2NJ465318,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X4NJ465319,D,NA,N,2021,C78T,,N,,WA,N
1XKYD49X0NJ465320,D,NA,N,2021,C78T,,N,,WA,N
