#VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
1HTKHPVK0MH648842,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK6MH648845,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK6MH653933,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVKXMH653935,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK1MH653936,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM1MH653937,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVK7MH653942,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK6MH655035,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM1MH655039,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVMXMH661910,D,NA,N,2021,C67,,N,Y,CA,N
1HTKJPVK8MH664906,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK6MH674995,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK8MH677487,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK8MH677490,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK7MH677495,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM6MH677506,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVM5MH677514,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVK0MH622239,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK7MH622240,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK9MH622241,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK0MH622242,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK2MH622243,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK2MH681261,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK1MH681266,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK1MH689237,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK3MH689241,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK3MH691253,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM9MH691254,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVK2MH691255,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM6MH691258,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVM3MH843660,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVK3MH855256,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK9MH855259,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK5MH855260,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK7MH855261,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK2MH860660,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK4MH860661,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK6MH860662,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK3MH860669,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK5MH860670,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK7MH860671,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK3MH860672,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM4MH867627,D,NA,N,2021,C67,,N,Y,CA,N
1HTKSSWM8MH313560,D,NA,N,2021,C67,,N,Y,CA,N
1HTKSSWM1MH313559,D,NA,N,2021,C67,,N,Y,CA,N
1HTKSSWMXMH313558,D,NA,N,2021,C67,,N,Y,CA,N
1HTKSSWM8MH313557,D,NA,N,2021,C67,,N,Y,CA,N
1HTKJPVK6MH867633,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM8MH677507,D,NA,N,2021,C67,,N,Y,CA,N
1HTKJPVM8MH664907,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVK3MH661911,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM8MH655040,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVK1MH648087,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK2MH627978,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK0MH627977,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM7MH615130,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVMXMH614411,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVK5MH599573,D,NA,N,2021,C45,,N,Y,CA,N
3HAEUMML5NL561886,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML3NL561885,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML6NL561881,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMMLXNL520797,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML2NL381572,D,NA,N,2021,C67,,N,Y,CA,N
