#VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
1N6AF0KY7MN804579,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN806557,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN806560,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN806784,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN806851,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN806901,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN807689,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN808261,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN808583,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN808860,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY8MN800251,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY8MN801612,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY8MN802565,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY8MN803151,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY8MN803540,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY8MN803621,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY8MN804414,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY8MN804560,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY8MN806115,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY8MN808074,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY8MN808527,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY9MN801540,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY9MN801635,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY9MN802915,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY9MN802963,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY9MN802980,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY9MN803515,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
