VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
1G9BG2CD0MP492062,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD2MP492063,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD4MP492064,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9BG2CD6MP492065,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD8MP492066,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CDXMP492067,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD1MP492068,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD3MP492069,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CDXMP492070,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD1MP492071,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD3MP492072,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD5MP492073,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD7MP492074,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD9MP492075,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD0MP492076,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD2MP492077,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD4MP492078,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD6MP492079,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD2MP492080,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD4MP492081,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD6MP492082,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD8MP492083,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CDXMP492084,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD1MP492085,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD3MP492086,EL,EV,N,2021,C45,NA,N,,,Y
